gene_id	4438	4460	4474	4501	4510	4520	DC1MINUS	DC2MINUES	DC2PLUS	DC4MINUS	DC4PLUS	MischiefMinus	MischiefPlus	X2654MINUS	X2654PLUS
EIF2B2	257	261	319	158	48	224	440	543	461	576	668	171	165	353	417
TMED10	2399	2315	2834	1302	565	1767	6797	6370	5259	5782	7534	162	119	5616	6738
BATF	223	266	285	116	57	193	0	1	0	0	2	145	86	0	0
ERG28	220	181	207	127	47	128	261	213	159	268	373	105	136	236	272
TGFB3	10	26	11	12	19	8	688	1184	990	2163	2362	127	181	178	202
VASH1	2488	2087	2438	1117	641	1828	748	643	554	1344	1679	171	139	410	551
VIPAS39	959	675	763	459	146	471	987	1022	734	1072	1411	227	245	538	693
SPTLC2	1209	1074	1178	734	316	871	662	635	516	730	1006	134	142	550	751
SLIRP	194	227	218	110	46	148	553	487	344	763	922	27	21	454	537
SNW1	1906	1962	1791	905	368	1509	1536	1524	1236	1455	1981	362	264	875	1003
PROX2	14	8	12	15	6	12	10	7	3	8	5	87	94	3	5
SEL1L	1853	1351	1639	1255	543	1064	5653	5233	4193	5014	7531	431	325	3299	3646
GPR65	564	515	602	267	148	319	2	3	4	10	2	219	208	3	1
KCNK10	36	46	39	40	28	12	0	0	4	2	2	133	148	0	0
PSMC1	1042	1083	1050	666	234	839	1439	1308	1099	1536	2173	195	150	947	1096
LGMN	119	119	180	96	69	94	1693	2725	2480	2302	2829	140	162	2073	2142
TMEM251	383	395	359	210	102	284	418	452	364	452	572	43	42	170	258
UBR7	662	726	867	473	179	706	1166	1190	1022	1355	1699	184	195	837	928
GON7	428	485	450	258	125	372	338	400	321	359	516	60	42	269	294
SERPINA6	0	1	1	0	5	0	0	0	0	0	0	26	26	0	0
SERPINA5	1	0	0	2	16	0	0	2	0	0	0	62	78	0	1
NDUFB1	426	380	478	250	124	350	1191	1183	994	1201	1683	43	48	852	1200
ATP5MPL	828	822	890	453	212	727	1292	1367	1154	1372	1726	55	57	955	1184
SIVA1	247	247	228	106	62	193	232	224	161	234	262	60	47	201	202
EVL	2882	2841	2450	1164	487	2047	839	967	861	1608	1813	242	227	626	710
GTPBP4	1106	1005	946	495	205	805	1240	1090	895	1064	1535	292	192	726	906
UCN3	3	4	1	6	5	0	0	0	0	0	0	63	83	0	0
NET1	1280	2265	1492	608	275	1148	959	1668	1241	1517	2076	133	132	1101	1457
ITIH2	17	4	5	12	16	10	3	0	1	2	2	160	191	3	1
KIN	466	326	324	174	96	256	480	516	447	527	659	102	85	292	320
CDC123	1805	3220	2081	1222	491	1756	1278	1287	1048	1177	1713	174	112	985	1228
PRPF18	990	1061	965	516	215	631	834	947	883	717	949	114	126	536	662
HSPA14	592	517	570	244	128	412	1082	1203	946	1130	1534	83	96	748	957
ACBD7	0	0	2	0	1	0	0	0	1	0	0	13	11	0	0
MINDY3	927	819	837	513	281	623	483	589	471	602	779	82	64	396	463
RSU1	8877	9371	11353	5637	2578	11001	4023	3500	2630	3828	4879	177	162	3310	4367
CUBN	193	134	167	235	104	141	104	129	78	65	84	537	706	82	107
VIM	6204	2353	6480	6475	2641	2831	16977	14738	11045	15436	20445	2461	1272	13499	15230
PLXDC2	4385	3797	4704	2735	1185	4382	19665	31740	24458	17389	21327	105	127	4698	5864
DNAJC1	268	249	298	166	69	167	622	754	618	657	830	75	63	432	565
COMMD3	1255	897	1305	744	252	935	980	1035	770	909	1222	64	49	498	655
SPAG6	3	4	6	5	12	0	4	2	3	1	2	31	65	0	0
ENKUR	6	2	9	8	10	2	7	5	1	2	8	20	34	6	7
GAD2	23	17	10	44	29	10	62	12	4	3	3	177	227	3	0
OTUD1	382	427	375	146	49	292	911	757	656	1234	1563	19	31	176	280
RAB18	2581	2566	2861	1453	623	1955	4486	5345	4107	4992	6792	68	74	3154	4061
LOC101090367	2	0	3	1	10	3	0	0	0	0	0	18	31	0	0
MTPAP	811	746	868	495	214	581	928	1001	801	929	1169	72	77	503	599
KIF5B	6266	5334	5938	2848	1162	4095	16534	28556	20696	18491	24417	691	413	18457	22576
ATP6V1E1	2112	1679	2391	1385	623	1916	2071	2736	2176	2100	2883	132	121	1518	1901
DCP1B	317	293	283	159	50	227	454	422	359	507	644	105	125	302	384
RAD52	351	342	351	161	80	195	511	513	450	433	622	116	133	421	502
SLC6A13	20	21	23	19	21	23	0	0	0	1	0	191	201	0	0
TIGAR	701	659	645	421	169	530	4709	6325	4972	4138	5433	121	77	4936	6218
FGF6	0	0	1	2	4	0	0	0	0	0	0	35	45	0	0
AKAP3	14	16	7	12	19	7	19	3	0	5	5	69	135	2	4
NDUFA9	513	471	507	269	123	419	956	930	848	1000	1414	117	113	576	692
BID	651	698	649	383	159	492	877	1012	837	1056	1511	84	79	449	523
HDHD5	116	108	90	30	20	70	377	288	287	448	545	66	97	297	310
CACNA2D4	14	3	5	11	24	8	0	5	2	1	3	326	421	2	2
LTBR	498	484	604	210	171	372	4433	3963	3712	4112	4609	68	110	2616	3006
ACRBP	268	338	253	148	72	213	6	7	1	8	7	127	125	3	5
GPR162	4	7	5	5	7	4	41	26	33	24	41	89	93	52	48
GNB3	12	2	6	10	11	7	89	65	62	75	90	73	107	28	76
SPSB2	506	503	440	247	118	329	245	278	260	187	247	42	40	154	167
CB4H12orf57	615	515	533	372	134	453	442	558	499	498	563	99	91	416	415
PHB2	1687	1659	1790	1048	334	1327	3533	2703	2494	3364	4020	196	147	1864	2067
EMG1	219	179	172	109	33	164	432	357	295	413	423	120	127	190	238
LPCAT3	444	394	470	186	93	305	678	405	340	785	963	162	155	558	692
RBP5	3	0	0	3	5	0	0	0	0	0	1	105	120	0	1
CLEC4E	222	184	622	66	96	132	0	0	1	0	0	26	39	0	0
NECAP1	834	860	1101	421	157	638	697	614	528	648	893	144	137	444	581
SLC2A3	6228	6447	4950	3014	1382	5116	4526	3266	2806	6510	8161	731	609	3513	4830
GDF3	1	1	0	0	2	0	0	0	0	0	0	48	59	0	0
PHC1	441	607	382	284	103	441	314	211	200	285	384	278	280	112	125
C3AR1	571	416	419	452	215	456	49	47	53	59	73	60	41	7	22
CLEC2D	5600	5069	8410	2800	1563	3922	0	0	0	0	0	88	62	0	2
CD69	929	1763	1322	578	127	1017	0	0	0	0	0	34	48	0	0
KLRF1	73	55	118	30	25	9	0	0	0	0	0	22	20	0	0
CLEC12B	13	51	29	14	6	33	5	0	0	1	2	44	91	0	0
CLEC7A	328	583	322	50	124	234	4	0	3	0	0	32	62	0	0
GABARAPL1	642	473	563	463	120	412	4028	4271	3571	3868	4982	130	146	2364	2793
LOC101086984	21	87	57	12	9	12	0	0	1	0	0	63	102	0	0
LOC101089022	0	2	0	0	4	1	0	0	0	0	0	29	33	1	0
LOC101089276	1	0	0	0	1	0	0	0	0	0	0	14	8	0	0
LOC101090527	1	0	0	1	2	2	0	0	0	0	0	31	36	0	0
LOC101090778	2	0	0	1	1	0	0	0	0	0	0	21	25	0	0
MANSC1	117	157	131	57	44	105	1295	1538	1245	1090	1556	56	50	1141	1285
CREBL2	31823	36452	33605	14831	9630	30645	1523	1650	1355	1326	1829	194	177	1619	2101
DDX47	571	504	505	265	98	376	985	993	831	906	1299	176	171	784	877
EMP1	65	56	110	38	28	46	6622	4501	3424	3784	5047	51	89	5289	6497
PLBD1	10521	5469	15743	5215	3431	6606	1211	1446	1198	753	830	34	52	1671	2343
ART4	22	16	3	22	12	7	2	0	0	0	0	127	163	0	0
MGP	1	1	2	1	4	3	821	30	21	3	2	54	54	334	375
ERP27	83	34	55	41	19	14	1	0	0	0	1	198	187	0	0
ARHGDIB	9853	9869	10684	4753	1708	6750	354	71	74	5	13	1045	575	9	8
RERG	0	0	0	0	5	0	49	1	0	0	2	23	32	0	0
STRAP	831	746	776	685	230	618	2551	2333	1734	2424	3601	220	125	1526	1532
SLC15A5	2	1	1	4	9	2	0	0	0	0	0	61	77	0	0
TAS2R9	31	72	35	21	26	58	7	6	5	4	5	30	48	12	7
LOC101080977	1	0	0	1	0	0	0	0	0	0	0	16	19	0	0
GPRC5D	3	0	1	1	10	0	43	24	17	65	78	102	106	7	10
RERGL	0	0	2	0	5	1	0	0	0	0	0	25	19	0	0
GOLT1B	343	376	331	143	92	256	1983	1642	1217	1811	2502	32	29	1517	2049
GYS2	19	7	20	14	16	10	0	1	2	8	10	133	155	4	8
LDHB	2228	2097	2465	1279	484	1610	5536	5806	4497	6536	8690	432	217	8240	10052
ST8SIA1	5	4	3	8	10	8	2	0	0	1	0	66	91	0	0
SSPN	30	37	36	13	16	10	1883	1760	1435	2946	3782	71	72	1038	1282
TM7SF3	1885	1610	1498	921	340	1222	2116	2110	1701	1500	2085	180	146	1841	2211
MED21	627	733	679	357	126	357	994	939	759	1035	1189	48	42	588	694
REP15	2	4	4	6	6	3	8	9	6	11	11	42	50	3	9
IPO8	1142	884	1014	763	340	731	653	719	492	733	1018	218	193	440	567
YARS2	264	278	203	119	52	117	349	358	272	376	554	58	47	188	223
ALG10	507	491	486	152	73	297	242	211	200	264	338	37	33	159	175
CPNE8	39	89	83	45	32	55	323	361	294	364	499	75	76	198	235
LOC101100977	0	0	0	0	2	1	0	0	1	0	0	28	50	0	1
LOC101101231	1	0	0	1	1	0	0	0	0	0	0	26	44	0	0
SLC38A2	19121	16413	15048	9628	3400	15668	29436	22871	18270	32026	40950	277	145	12206	15473
AMIGO2	164	174	105	98	28	208	386	896	613	101	105	19	46	111	141
ENDOU	34	17	18	9	15	11	2	8	5	3	2	132	183	3	6
LALBA	7	3	6	7	9	7	13	5	7	2	1	127	161	6	11
CCNT1	721	756	764	440	153	556	398	408	307	452	557	151	164	333	417
CACNB3	349	317	337	166	83	315	1296	1106	992	1263	1395	145	171	1010	1241
RND1	14	105	18	28	8	22	36	44	45	41	48	67	118	64	68
CCDC65	16	13	10	7	10	10	77	81	65	64	93	143	176	53	76
FKBP11	124	167	132	75	30	89	220	305	241	257	353	137	130	293	353
DDN	0	2	3	1	14	4	6	3	1	2	2	95	84	3	0
RHEBL1	6	0	2	4	10	3	14	8	16	19	15	85	113	13	7
LOC101098390	2	3	2	3	10	1	0	1	1	0	0	120	141	0	0
LOC101098641	0	1	0	0	4	0	0	0	0	0	0	62	103	0	0
LOC101099384	0	0	1	2	0	0	0	0	0	0	0	78	89	0	0
LOC101100140	1	0	0	0	1	0	0	0	0	0	0	22	31	0	0
LOC101100898	1	1	2	3	2	1	0	0	0	0	0	33	79	0	0
LOC101101145	0	2	0	1	9	2	0	0	0	0	0	30	37	0	0
LOC101101393	1	0	0	1	13	1	0	0	0	0	0	24	28	0	0
LOC101101645	1	0	3	2	10	2	0	0	0	0	0	31	48	0	0
LOC101080462	2	29	0	3	7	3	1	2	0	1	0	34	61	1	0
LOC101081477	4	1	0	3	3	3	1	1	0	0	2	79	101	2	3
TROAP	18	7	12	9	21	11	7	1	0	4	8	139	116	0	0
KCNH3	15	9	15	7	26	5	19	16	8	15	12	161	169	11	15
BCDIN3D	256	188	166	125	45	157	224	223	200	262	332	24	26	144	169
SMARCD1	488	368	379	436	137	311	177	147	114	220	317	239	208	121	101
METTL7A	1501	2296	1646	1185	518	1665	253	245	225	265	301	116	100	332	328
DAZAP2	3154	3141	3281	3254	1219	2832	833	883	700	792	1283	218	169	691	727
KRT80	2	0	1	2	13	1	35	18	18	27	35	103	79	14	9
LOC101099477	1	4	0	2	10	0	0	0	0	0	0	59	72	0	0
LOC101099731	3	3	1	4	11	4	0	0	0	0	0	58	53	0	0
LOC101100226	8	6	2	2	11	9	0	0	0	1	0	120	138	0	0
KRT2	8	6	4	6	9	2	0	0	0	0	1	126	144	2	0
LOC101080303	4	0	2	5	11	2	5	8	20	6	4	121	123	1	4
KRT4	1	1	1	4	11	2	0	0	0	0	0	142	177	0	0
KRT79	2	1	4	0	7	2	0	0	0	0	1	50	59	0	0
KRT78	3	1	0	4	10	1	0	0	3	0	0	44	59	0	0
KRT8	1	6	1	2	9	3	0	2	3	1	5	66	63	2	5
KRT18	720	1500	483	179	134	406	0	0	0	0	1	74	84	0	1
TNS2	38	24	28	17	22	26	2043	1746	1533	1324	1675	191	174	1761	1917
SPRYD3	597	509	638	308	131	446	1550	1666	1500	1517	1960	330	302	1519	1707
ZNF740	2522	2669	2138	946	428	1770	1319	1222	963	1411	1728	306	279	715	857
MFSD5	228	198	220	143	71	217	334	395	388	386	433	77	101	324	318
ESPL1	80	41	73	43	44	58	83	8	15	25	55	400	441	5	21
AAAS	361	340	377	191	77	245	353	340	306	400	431	221	250	291	388
HOXC9	1	0	0	0	7	1	170	164	141	219	248	81	54	30	30
HOXC6	3	3	2	2	11	1	345	233	210	303	363	116	136	108	123
COPZ1	3048	2594	2900	1306	496	2137	3528	3184	2752	3807	4533	152	160	2439	2803
ZNF385A	249	181	202	549	182	169	39	23	8	12	30	89	109	23	33
ITGA5	1940	1479	1935	494	314	848	15612	12563	11785	31113	37191	246	291	5932	6835
GTSF1	2	1	0	0	6	2	2	2	1	3	1	62	96	3	0
NCKAP1L	5356	4235	5025	3398	1101	3835	0	0	5	3	1	500	488	0	0
KRT82	1	0	3	2	13	1	0	1	0	0	0	82	67	0	0
SOAT2	9	51	41	38	32	31	176	107	105	99	110	246	354	117	118
LOC101081645	0	0	1	0	1	0	0	0	0	0	0	32	24	0	0
LOC101082164	1	0	0	0	3	0	0	0	0	0	0	30	44	0	0
LOC101084462	2	1	0	0	5	0	0	0	0	0	0	22	27	0	0
LOC101084720	0	0	3	0	3	0	0	0	0	0	0	24	39	0	0
LOC101085987	0	0	1	1	6	0	1	0	0	0	0	29	36	0	0
LOC101086987	3	0	0	4	4	0	0	0	0	0	0	5	11	0	0
LOC101088007	2	0	0	0	3	0	0	0	0	0	0	21	19	0	0
LOC101088763	0	0	2	0	3	0	0	0	0	1	0	13	6	0	0
LOC101089279	0	0	0	2	4	0	0	0	0	0	0	28	39	0	0
METTL7B	2	2	0	1	12	0	0	0	0	0	0	49	90	0	0
BLOC1S1	630	565	739	382	131	470	533	584	537	565	604	92	70	845	980
GDF11	549	374	303	429	144	463	653	786	596	588	781	99	110	638	786
SARNP	775	807	775	401	214	604	859	897	696	766	1245	230	205	654	752
ORMDL2	474	475	426	242	77	379	209	206	157	212	273	66	86	124	220
MMP19	6	11	9	1	18	4	746	723	636	127	200	146	128	845	870
PYM1	135	213	131	80	37	126	149	118	79	138	155	103	153	71	75
CDK2	257	188	241	129	37	216	129	52	43	119	170	233	203	49	62
RPS26	8180	8027	9262	5750	1649	6643	9029	8237	7084	8056	10028	437	320	5791	6437
PA2G4	2281	2002	2157	1077	371	1651	2663	2329	2022	2837	3706	597	431	1594	2039
COQ10A	202	158	197	75	52	131	292	300	255	401	488	113	109	193	223
CS	3099	2946	3323	2670	981	2551	2772	2597	2113	3402	4060	290	229	2266	2614
CNPY2	433	502	488	208	100	323	1012	1040	905	1018	1277	147	119	811	976
IL23A	88	73	99	60	51	76	27	12	14	14	21	75	61	9	18
MIP	2	4	0	2	5	4	0	1	0	0	0	95	162	3	0
SPRYD4	65	68	42	43	21	41	65	31	35	42	46	54	78	33	33
GLS2	12	7	24	20	24	4	10	4	6	8	10	157	172	3	5
LOC101100488	0	1	0	0	4	0	0	0	0	0	0	25	28	0	0
LOC101081560	0	0	0	0	1	0	0	0	0	0	1	0	4	0	0
LOC101084373	0	0	0	0	5	1	0	0	0	0	0	67	82	0	0
ATP5F1B	6374	5497	6627	3739	1355	5482	11261	9881	8495	12092	17747	458	303	10580	11009
PTGES3	2334	1806	2085	1810	643	1269	1796	1404	1081	1754	2802	260	134	1111	1273
NACA	12584	11352	13935	7222	2724	8963	9711	8902	6890	9545	12761	1173	777	5625	6886
SDR9C7	1	2	0	1	8	0	0	0	0	0	0	83	97	0	0
RDH16	39	82	56	28	8	33	8	0	3	10	10	136	147	1	4
TAC3	3	2	1	5	5	0	0	0	0	0	0	90	73	0	0
MYO1A	129	97	116	82	49	94	21	7	9	24	17	295	417	1	10
NDUFA4L2	4	0	0	0	4	1	427	32	35	220	312	24	17	10	4
INHBE	3	0	0	0	10	0	1	0	1	0	0	55	108	0	0
ARHGEF25	4	0	4	3	18	2	567	407	378	500	650	139	162	484	613
CYP27B1	6	7	13	1	23	7	11	2	7	5	10	171	183	5	10
METTL1	41	38	35	17	25	38	345	290	246	311	439	77	97	182	246
CTDSP2	6076	6179	5197	2302	1036	3820	6609	6886	5876	6216	7280	254	199	4263	4963
PPM1H	489	206	664	199	171	256	83	331	268	219	340	138	186	84	116
AVPR1A	8	42	16	15	7	12	0	0	0	1	0	46	60	0	0
TMEM5	144	173	140	69	36	83	604	643	548	558	772	31	34	439	584
GPR182	3	4	11	3	12	4	1	1	0	2	4	73	59	0	0
CB4H12orf66	205	139	166	81	31	110	69	66	80	83	119	99	74	59	78
WIF1	337	237	28	15	115	82	2	0	0	0	0	80	119	0	0
TMBIM4	788	785	919	398	169	587	1332	1071	905	1309	1906	53	31	813	1010
HELB	744	696	849	453	177	576	198	348	277	292	363	119	144	26	44
CAND1	2385	2240	2321	1144	456	1591	4482	4860	3685	5087	6932	272	202	2778	3551
IL22	1	1	2	1	11	0	0	0	0	0	0	165	136	0	0
SLC35E3	398	320	347	246	103	331	353	302	247	351	493	66	39	204	245
YEATS4	384	348	375	154	61	265	354	464	331	381	559	91	87	229	273
CCT2	2566	2272	2365	1280	512	1925	5342	5889	4664	6134	8262	237	164	3199	4040
LRRC10	1	1	2	0	2	0	0	3	0	3	4	52	49	0	4
PTPRB	11	8	16	10	30	7	1948	2958	2298	1511	1983	316	373	1060	1129
RAB21	1994	1610	1749	1379	445	1277	1538	1683	1333	1205	1687	284	175	1239	1421
BBS10	205	119	33	23	31	125	71	76	67	111	153	39	41	62	89
ZDHHC17	908	767	758	540	207	446	580	524	443	566	716	93	99	256	318
CSRP2	15	7	6	15	7	8	671	574	492	3146	4031	68	64	130	180
MYF6	0	0	0	0	4	0	2	2	0	0	0	34	28	0	7
MYF5	1	2	0	2	6	0	0	0	0	0	0	56	66	0	0
METTL25	136	153	135	92	47	84	89	93	74	66	97	52	71	50	73
CCDC59	309	381	380	173	70	270	300	253	184	285	393	74	73	153	221
ALX1	3	0	0	1	3	2	1	1	2	1	1	48	75	0	0
NTS	1	1	0	0	1	3	0	1	0	0	0	14	19	0	0
CB4H12orf29	441	459	439	204	104	293	300	263	206	287	376	53	75	207	221
DUSP6	2387	742	2717	719	861	1311	444	331	322	169	242	117	110	522	616
ATP2B1	3119	1725	3308	1533	675	1509	1984	1943	1484	1981	2745	355	306	1290	1586
EPYC	2	2	1	0	0	0	0	0	0	0	0	46	54	0	0
LUM	1	0	1	0	4	0	2057	337	335	2948	5293	35	26	821	1071
CRADD	387	282	317	212	71	190	102	186	168	150	157	126	159	113	109
NDUFA12	710	728	911	390	164	495	1585	1542	1143	1512	1980	81	48	1007	1257
FGD6	96	92	93	73	41	102	194	184	157	214	287	161	177	158	205
ACTR6	363	600	400	194	113	395	798	864	644	667	936	37	29	576	688
ARL1	702	651	621	287	134	397	2311	2566	2155	2310	3022	171	101	1776	2042
GNPTAB	7357	7213	7228	4177	1816	6291	2735	2932	2362	2436	3433	408	313	3059	3358
WASHC3	734	604	711	469	170	478	1388	1440	1087	1430	1776	233	227	1011	1281
PMCH	10	12	9	8	5	6	6	6	4	3	4	10	10	2	5
IGF1	39	6	11	24	39	16	62	26	18	27	39	203	207	18	13
EID3	115	131	120	76	46	88	76	74	60	34	52	31	29	35	53
CB4H12orf45	325	396	361	182	83	267	391	480	395	465	650	75	69	287	300
POLR3B	432	392	413	290	113	297	729	811	673	828	1115	271	274	393	447
TMEM263	1439	1409	1231	672	300	1270	6188	4979	3836	6715	8848	49	64	3100	3923
CRY1	499	363	443	207	111	369	375	297	239	372	456	117	117	189	233
PWP1	585	538	520	289	122	388	1587	1415	1147	2084	2741	154	118	1246	1616
TIMP3	221	225	207	117	51	139	3776	4316	3699	4318	5766	128	204	63178	69383
HMOX1	202	95	351	140	79	174	1157	1099	1004	1046	1266	165	98	756	889
MB	0	0	0	0	1	1	1	1	4	0	0	21	29	0	0
IFT27	85	51	74	37	23	48	160	176	124	201	216	53	61	183	160
NCF4	742	453	815	310	218	619	2	2	1	0	0	148	123	2	0
TEX33	2	2	3	3	1	1	1	0	0	1	0	32	37	0	1
C1QTNF6	15	22	8	6	13	11	1738	1761	1663	2192	2240	52	47	368	421
NOL12	915	922	789	390	156	717	532	445	451	488	505	118	83	348	389
GCAT	162	130	124	72	29	98	86	103	95	80	105	44	41	22	43
ANKRD54	385	320	349	143	74	253	392	402	370	475	564	77	76	286	331
EIF3L	5065	3908	5473	3368	1007	3853	9703	9220	7803	9149	11637	454	380	5590	6248
TOMM22	1553	1576	1904	1000	328	1357	1418	1290	1106	1468	1768	162	147	948	1201
DNAL4	93	88	107	40	13	59	158	175	165	168	224	67	60	106	120
RPL3	16825	17975	18463	10558	3280	14500	20611	27254	23773	27773	33603	1431	854	18938	20789
ATF4	5205	5255	5296	3923	1563	4331	4659	4112	3447	5252	6918	640	409	3042	3726
MCHR1	2	1	1	2	7	0	2	0	0	0	0	54	53	0	0
SLC25A17	325	322	358	155	88	246	1436	1419	1212	1396	1806	94	70	896	1160
RBX1	862	941	851	443	177	636	1014	1098	939	997	1403	148	130	758	901
EP300	3229	2181	2621	3081	1079	1627	554	408	333	568	660	942	727	212	272
TEF	1109	1173	954	850	247	892	1161	1475	1332	1236	1455	203	160	867	1002
PHF5A	745	880	836	450	185	677	946	912	782	933	1138	91	91	559	624
ACO2	2193	1998	2114	1125	374	1663	2979	2904	2610	3079	3637	309	216	2070	2427
POLR3H	95	91	80	59	32	93	142	171	156	192	197	58	60	148	150
PMM1	229	250	205	141	45	188	170	196	161	193	244	136	101	127	138
DESI1	443	570	560	341	127	417	1583	1701	1463	1481	1790	238	223	1305	1450
CENPM	255	78	147	168	49	91	49	36	35	26	38	79	91	16	17
SMDT1	687	561	716	476	198	508	553	574	495	766	911	83	60	448	634
NDUFA6	401	381	431	228	75	265	605	532	499	639	756	52	40	474	633
POLDIP3	1319	1126	1121	554	199	935	1820	1614	1365	1788	1963	178	177	981	1134
SAMM50	754	658	704	371	163	484	1780	1800	1623	1944	2354	169	121	1163	1345
MIOX	1	0	1	0	3	0	97	59	75	50	65	28	29	50	64
KLHDC7B	5	1	10	6	19	3	1	2	1	4	6	94	100	3	0
SYCE3	0	0	0	1	5	0	0	0	0	0	0	27	31	0	0
ACR	2	1	6	2	8	2	0	0	0	0	0	42	45	0	0
LOC101085223	215	176	144	91	30	131	285	310	255	327	304	28	24	183	224
ACTRT2	0	1	0	1	2	0	0	0	0	1	0	15	15	0	0
TAS1R1	24	19	19	11	10	19	16	7	9	10	13	66	83	13	10
PHF13	730	417	503	398	119	593	605	739	601	669	737	61	82	400	480
ENO1	13068	8080	16005	11608	3716	14125	43504	31796	28544	45790	55809	1030	532	44431	49424
DFFA	485	606	492	241	98	384	718	719	665	750	915	84	57	658	769
PEX14	115	100	125	65	46	68	237	248	242	257	326	78	78	147	159
SRM	244	234	225	136	44	161	651	667	583	1047	1310	54	60	594	645
EXOSC10	1097	1042	1024	587	199	744	1108	1091	943	1285	1749	259	234	730	878
MTOR	2646	2116	2454	1333	631	1740	2502	2880	2735	3638	4391	635	687	2111	2366
ANGPTL7	10	8	11	14	9	8	6	2	1	2	5	64	80	0	2
FBXO2	14	2	6	7	4	0	60	100	102	75	95	26	39	99	146
CLCN6	501	373	428	354	126	312	414	465	365	403	507	241	247	247	293
NPPA	1	0	1	0	2	0	0	0	0	8	12	30	40	0	0
PLOD1	624	499	692	276	213	426	6854	6412	6166	9793	11365	161	176	8205	9036
MFN2	4503	3432	4034	2279	848	3751	2783	3367	2993	3087	3772	336	258	2990	3362
DHRS3	49	17	32	21	20	19	341	313	287	370	380	108	91	493	537
CTRC	3	1	3	2	10	1	0	0	0	0	0	20	20	0	0
SLC25A34	15	4	11	9	15	5	5	9	7	3	6	50	50	3	10
SRARP	4	0	0	1	6	0	3	3	8	9	6	26	37	9	3
MFAP2	11	6	7	1	11	1	141	372	350	64	62	52	28	133	117
SDHB	618	689	745	364	139	496	1514	1885	1589	1727	2254	115	101	1204	1461
PADI2	1463	852	1533	598	385	983	469	698	579	296	272	212	215	349	298
PADI1	5	5	3	7	9	2	0	0	0	1	0	113	129	0	0
ACTL8	4	1	1	4	8	3	0	1	0	2	0	22	39	0	0
CA6	3	3	1	2	5	2	0	0	1	0	0	62	76	0	0
MASP2	373	190	280	146	64	132	28	27	17	31	47	81	74	17	19
KIAA2013	1248	1106	1082	632	230	846	1523	2231	2220	1950	2175	157	136	1682	1949
RSG1	120	71	106	38	26	78	104	93	110	142	167	101	96	108	116
ALDH4A1	650	605	674	335	147	497	894	1417	1325	1835	2099	159	126	1297	1387
EMC1	1877	1677	1487	697	273	1151	2410	2917	2618	3259	3769	356	332	2043	2518
MRTO4	218	223	150	80	41	102	275	302	267	343	375	79	56	200	221
LOC101089785	158	157	159	105	36	152	392	492	449	420	536	45	52	426	497
LOC101091384	6	0	0	1	7	1	0	1	1	0	0	59	62	0	0
PLA2G2D	2	2	1	0	6	0	0	0	0	0	0	40	45	0	0
PLA2G2F	126	101	157	107	53	124	0	0	0	0	0	55	34	0	0
MUL1	214	184	204	106	54	183	414	481	429	559	680	130	117	372	444
DDOST	1976	2133	2284	1551	627	2074	4132	4560	3962	3956	4832	239	188	3428	3990
EPHA8	4	4	8	11	34	5	1	0	0	1	0	118	116	0	0
C1QB	1	2	5	4	3	10	0	0	0	0	0	30	28	0	0
ZNF436	399	376	345	158	75	229	1041	1167	965	1148	1412	150	216	727	770
E2F2	483	335	453	670	112	351	1	3	0	2	1	180	153	0	0
FUCA1	622	538	840	327	174	491	1415	1286	1066	1065	1410	61	103	1331	1669
NCMAP	5	4	10	7	9	0	5	21	22	3	11	124	86	2	2
SYF2	673	745	678	390	149	635	289	384	322	387	511	238	146	193	212
PAFAH2	3500	5491	4368	2966	1040	4213	333	400	314	364	461	166	173	260	347
TRIM63	11	5	9	8	1	3	36	92	72	25	44	111	142	76	72
ZNF593	63	71	108	55	23	84	167	200	186	195	243	66	65	149	170
CATSPER4	3	1	0	2	9	1	0	1	0	0	0	103	106	0	0
GPN2	338	260	301	129	67	215	329	306	263	336	429	134	158	183	251
NUDC	619	566	553	319	122	469	912	906	774	1076	1378	452	298	690	704
FAM46B	12	5	2	12	10	5	19	4	4	23	25	62	69	19	19
SLC9A1	338	295	283	415	137	249	169	196	168	238	330	291	262	142	190
TMEM222	442	503	404	209	79	370	353	433	428	417	424	80	68	350	379
RNF186	2	0	4	1	5	1	0	0	0	0	1	11	8	0	0
MYOM3	14	288	8	11	95	236	2	8	8	4	3	264	268	7	22
CRYBG2	87	20	70	59	35	26	0	0	4	1	2	227	266	0	2
GPATCH3	363	358	358	173	92	282	221	264	225	291	345	132	170	111	134
NR0B2	1	0	1	0	7	2	0	0	0	0	0	15	22	0	0
FCN3	2	4	3	1	3	0	2	1	1	0	1	62	60	2	1
STX12	2041	1486	2093	1029	413	1442	3096	3518	2776	3900	5135	117	104	2730	3668
PPP1R8	691	580	621	367	118	492	761	858	717	1015	1308	134	69	497	666
SMPDL3B	3	1	2	2	6	5	1	0	0	0	1	91	94	0	0
ATP5IF1	829	1015	923	422	163	651	2470	2765	2125	3061	3824	521	304	2398	2694
TAF12	535	577	523	290	114	401	519	531	419	599	775	165	170	368	480
OPRD1	0	0	1	0	6	0	0	0	0	0	0	63	59	1	1
HCRTR1	7	23	5	7	10	17	8	2	2	1	6	65	71	7	3
PEF1	990	967	949	514	224	985	1660	1623	1582	1819	1956	99	97	1415	1554
CCDC28B	128	92	148	66	46	78	61	92	80	99	141	46	65	60	74
